CustomerID,Recommendations
C0001,"[('C0152', np.float64(0.9993735405332154)), ('C0174', np.float64(0.9972567238637806)), ('C0148', np.float64(0.98872959319966))]"
C0002,"[('C0134', np.float64(0.9962695339670781)), ('C0159', np.float64(0.9947826349193106)), ('C0106', np.float64(0.8721813114434319))]"
C0003,"[('C0129', np.float64(0.9965165315780892)), ('C0031', np.float64(0.9955533216498573)), ('C0195', np.float64(0.9903466131322355))]"
C0004,"[('C0001', np.float64(0.9886053165955304)), ('C0148', np.float64(0.9879657723170548)), ('C0152', np.float64(0.9869481384890475))]"
C0005,"[('C0007', np.float64(0.9969543079489012)), ('C0140', np.float64(0.9556188915211004)), ('C0106', np.float64(0.8780172950191207))]"
C0006,"[('C0187', np.float64(0.9961572546897437)), ('C0076', np.float64(0.9947378535727934)), ('C0108', np.float64(0.971933807821272))]"
C0007,"[('C0005', np.float64(0.9969543079489012)), ('C0140', np.float64(0.9635459016209545)), ('C0106', np.float64(0.878700485512147))]"
C0008,"[('C0098', np.float64(0.991612674045438)), ('C0059', np.float64(0.9894180257035868)), ('C0024', np.float64(0.9878266356401925))]"
C0009,"[('C0066', np.float64(0.9689938893185003)), ('C0198', np.float64(0.9177097098282873)), ('C0044', np.float64(0.8744862827859876))]"
C0010,"[('C0061', np.float64(0.997273033906917)), ('C0132', np.float64(0.957272211768132)), ('C0135', np.float64(0.8859819552376497))]"
C0011,"[('C0107', np.float64(0.9952940423218952)), ('C0155', np.float64(0.9930068042570717)), ('C0099', np.float64(0.9855172119755304))]"
C0012,"[('C0085', np.float64(0.9800182893748268)), ('C0148', np.float64(0.9787777123780206)), ('C0004', np.float64(0.9610340621946931))]"
C0013,"[('C0087', np.float64(0.9986927956443526)), ('C0126', np.float64(0.9933854957522579)), ('C0155', np.float64(0.9848053251815172))]"
C0014,"[('C0060', np.float64(0.8924031045843448)), ('C0089', np.float64(0.8822109020225923)), ('C0199', np.float64(0.7618332148385096))]"
C0015,"[('C0131', np.float64(0.9535431836322921)), ('C0160', np.float64(0.9428096334999122)), ('C0038', np.float64(0.9400921463542379))]"
C0016,"[('C0034', np.float64(0.9964978967822166)), ('C0094', np.float64(0.98192097259562)), ('C0049', np.float64(0.9805139610397019))]"
C0017,"[('C0051', np.float64(0.998621056023186)), ('C0041', np.float64(0.997985395656541)), ('C0081', np.float64(0.9957019117391293))]"
C0018,"[('C0035', np.float64(0.9895678895351334)), ('C0047', np.float64(0.9876389665887763)), ('C0157', np.float64(0.9819628756578798))]"
C0019,"[('C0070', np.float64(0.9828973471241857)), ('C0023', np.float64(0.9595743643708673)), ('C0064', np.float64(0.8924279187797098))]"
C0020,"[('C0050', np.float64(0.7947234842676698)), ('C0072', np.float64(0.7929364689495545)), ('C0125', np.float64(0.740832160018633))]"
