CustomerID,Recommendations
C0001,"[('C0152', np.float64(0.9993147484356203)), ('C0174', np.float64(0.9984136629957412)), ('C0148', np.float64(0.9884685811025645))]"
C0002,"[('C0134', np.float64(0.9976095510942725)), ('C0159', np.float64(0.9940940791806055)), ('C0106', np.float64(0.8672364423001778))]"
C0003,"[('C0031', np.float64(0.9993949605649125)), ('C0129', np.float64(0.9986533260759587)), ('C0195', np.float64(0.9925225211528794))]"
C0004,"[('C0148', np.float64(0.9873205765252194)), ('C0001', np.float64(0.9869583862534369)), ('C0174', np.float64(0.9855673675409938))]"
C0005,"[('C0007', np.float64(0.9991028216800341)), ('C0140', np.float64(0.9847779177198667)), ('C0106', np.float64(0.8692209159271236))]"
C0006,"[('C0187', np.float64(0.9958038805619233)), ('C0076', np.float64(0.995411507712363)), ('C0108', np.float64(0.969643117419797))]"
C0007,"[('C0005', np.float64(0.9991028216800341)), ('C0140', np.float64(0.9786120269968428)), ('C0106', np.float64(0.8691248675084255))]"
C0008,"[('C0024', np.float64(0.9930918491751818)), ('C0194', np.float64(0.9921563684444215)), ('C0059', np.float64(0.9910105503453326))]"
C0009,"[('C0066', np.float64(0.9701513018837112)), ('C0198', np.float64(0.9605441189084734)), ('C0044', np.float64(0.8748676891988564))]"
C0010,"[('C0132', np.float64(0.9981013645693777)), ('C0061', np.float64(0.997312771877306)), ('C0135', np.float64(0.8693018654013626))]"
C0011,"[('C0107', np.float64(0.9996707103435329)), ('C0192', np.float64(0.995436452227677)), ('C0155', np.float64(0.9929393239060456))]"
C0012,"[('C0085', np.float64(0.9790582930222086)), ('C0148', np.float64(0.9786249773923953)), ('C0004', np.float64(0.9620673657316704))]"
C0013,"[('C0087', np.float64(0.9995758278342005)), ('C0126', np.float64(0.9971977225979561)), ('C0155', np.float64(0.9855362689036083))]"
C0014,"[('C0089', np.float64(0.9886714658313237)), ('C0060', np.float64(0.8924031045843448)), ('C0069', np.float64(0.8106330113133293))]"
C0015,"[('C0131', np.float64(0.9606558824329765)), ('C0038', np.float64(0.9389440319866991)), ('C0160', np.float64(0.9362754354374986))]"
C0016,"[('C0183', np.float64(0.9999657440148558)), ('C0034', np.float64(0.9974618964602021)), ('C0094', np.float64(0.9912076256517889))]"
C0017,"[('C0051', np.float64(0.99850504200362)), ('C0041', np.float64(0.9977268440057474)), ('C0081', np.float64(0.995258755000645))]"
C0018,"[('C0035', np.float64(0.9949690507532271)), ('C0047', np.float64(0.990189277030026)), ('C0157', np.float64(0.9888388214068373))]"
C0019,"[('C0070', np.float64(0.9811152734309027)), ('C0023', np.float64(0.9761262527984431)), ('C0064', np.float64(0.872783633860172))]"
C0020,"[('C0050', np.float64(0.8370437883800252)), ('C0072', np.float64(0.8351582749125007)), ('C0125', np.float64(0.7705715732190853))]"
